iter	Passed	Remaining
0	1	103
1	1	63
2	1	48
3	1	39
4	1	35
5	2	32
6	2	30
7	2	28
8	2	27
9	2	25
10	3	24
11	3	23
12	3	22
13	3	21
14	3	21
15	3	20
16	4	20
17	4	19
18	4	19
19	4	18
20	4	18
21	5	18
22	5	17
23	5	17
24	5	16
25	5	16
26	6	16
27	6	16
28	6	15
29	6	15
30	6	15
31	7	15
32	7	14
33	7	14
34	7	14
35	7	13
36	8	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	8	11
43	9	11
44	9	11
45	9	11
46	9	10
47	9	10
48	10	10
49	10	10
50	10	10
51	10	9
52	10	9
53	11	9
54	11	9
55	11	8
56	11	8
57	11	8
58	12	8
59	12	8
60	12	7
61	12	7
62	12	7
63	13	7
64	13	7
65	13	6
66	13	6
67	13	6
68	14	6
69	14	6
70	14	5
71	14	5
72	14	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	17	2
87	18	2
88	18	2
89	18	2
90	18	1
91	18	1
92	19	1
93	19	1
94	19	1
95	19	0
96	19	0
97	20	0
98	20	0
99	20	0
