iter	Passed	Remaining
0	57	57539
1	57	28853
2	58	19289
3	58	14525
4	58	11657
5	58	9742
6	59	8374
7	59	7347
8	59	6547
9	59	5907
10	59	5384
11	60	4948
12	60	4579
13	60	4262
14	60	3987
15	60	3750
16	61	3538
17	61	3349
18	61	3181
19	61	3028
20	62	2893
21	62	2768
22	62	2655
23	62	2551
24	62	2454
25	63	2367
26	63	2284
27	63	2207
28	63	2135
29	64	2071
30	64	2008
31	64	1950
32	64	1895
33	64	1843
34	65	1794
35	65	1748
36	65	1704
37	65	1663
38	65	1624
39	66	1588
40	66	1553
41	66	1519
42	66	1486
43	67	1456
44	67	1427
45	67	1401
46	67	1373
47	67	1348
48	68	1323
49	68	1300
50	68	1277
51	68	1256
52	69	1235
53	69	1214
54	69	1195
55	69	1176
56	70	1159
57	70	1142
58	70	1124
59	70	1109
60	71	1093
61	71	1077
62	71	1062
63	71	1047
64	71	1032
65	71	1018
66	72	1004
67	72	991
68	72	978
69	72	966
70	72	954
71	73	943
72	73	932
73	73	922
74	73	911
75	74	901
76	74	891
77	74	881
78	74	871
79	74	861
80	75	852
81	75	844
82	75	833
83	75	824
84	75	816
85	76	808
86	76	800
87	76	792
88	76	785
89	76	777
90	77	770
91	77	763
92	77	756
93	77	749
94	77	742
95	78	735
96	78	728
97	78	722
98	78	716
99	79	711
100	79	705
101	79	699
102	79	693
103	79	688
104	80	682
105	80	677
106	80	672
107	80	667
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	82	637
114	82	632
115	82	628
116	82	623
117	82	618
118	83	614
119	83	610
120	83	606
121	83	602
122	83	597
123	84	593
124	84	589
125	84	586
126	84	582
127	84	578
128	85	574
129	85	571
130	85	568
131	85	565
132	86	561
133	86	557
134	86	554
135	86	550
136	86	547
137	87	544
138	87	540
139	87	537
140	87	534
141	87	531
142	88	527
143	88	524
144	88	522
145	88	519
146	88	516
147	89	513
148	89	510
149	89	507
150	89	505
151	90	502
152	90	499
153	90	496
154	90	494
155	90	491
156	91	488
157	91	486
158	91	483
159	91	481
160	91	478
161	92	476
162	92	473
163	92	471
164	92	468
165	92	466
166	93	464
167	93	461
168	93	459
169	93	457
170	93	455
171	94	452
172	94	450
173	94	448
174	94	446
175	94	444
176	95	442
177	95	440
178	95	438
179	95	436
180	96	434
181	96	432
182	96	431
183	96	429
184	97	427
185	97	425
186	97	423
187	97	421
188	97	419
189	98	418
190	98	416
191	98	414
192	98	412
193	98	410
194	99	409
195	99	407
196	99	405
197	99	404
198	100	402
199	100	401
200	100	399
201	100	397
202	100	396
203	101	394
204	101	392
205	101	391
206	101	389
207	101	388
208	102	386
209	102	384
210	102	383
211	102	382
212	102	380
213	103	379
214	103	377
215	103	376
216	103	374
217	104	373
218	104	371
219	104	370
220	104	368
221	104	367
222	105	365
223	105	364
224	105	363
225	105	362
226	105	360
227	106	359
228	106	358
229	106	356
230	106	355
231	106	353
232	107	352
233	107	351
234	107	349
235	107	348
236	107	347
237	108	346
238	108	345
239	108	344
240	109	343
241	109	342
242	109	341
243	109	340
244	110	339
245	110	337
246	110	336
247	110	335
248	110	334
249	111	333
250	111	332
251	111	331
252	111	329
253	111	328
254	112	327
255	112	326
256	112	325
257	112	324
258	113	323
259	113	322
260	113	321
261	113	320
262	113	319
263	114	318
264	114	317
265	114	316
266	114	315
267	114	314
268	115	313
269	115	311
270	115	311
271	115	310
272	116	309
273	116	308
274	116	306
275	116	305
276	116	304
277	117	303
278	117	302
279	117	302
280	117	300
281	117	299
282	118	299
283	118	298
284	118	297
285	118	296
286	118	295
287	119	294
288	119	293
289	119	292
290	119	291
291	119	290
292	120	289
293	120	288
294	120	287
295	120	287
296	121	286
297	121	285
298	121	284
299	121	283
300	121	283
301	122	282
302	122	281
303	122	280
304	123	280
305	123	279
306	123	278
307	123	277
308	123	277
309	124	276
310	124	275
311	124	274
312	124	274
313	125	273
314	125	272
315	125	272
316	125	271
317	126	270
318	126	269
319	126	269
320	126	268
321	127	267
322	127	266
323	127	265
324	127	265
325	127	264
326	128	263
327	128	262
328	128	262
329	128	261
330	128	260
331	129	259
332	129	259
333	129	258
334	129	257
335	130	257
336	130	256
337	130	255
338	130	255
339	131	254
340	131	253
341	131	253
342	131	252
343	131	251
344	132	250
345	132	250
346	132	249
347	132	248
348	133	248
349	133	247
350	133	246
351	133	246
352	133	245
353	134	244
354	134	243
355	134	243
356	134	242
357	134	241
358	135	241
359	135	240
360	135	239
361	135	239
362	135	238
363	136	237
364	136	237
365	136	236
366	136	235
367	137	235
368	137	234
369	137	233
370	137	233
371	137	232
372	138	232
373	138	231
374	138	230
375	138	230
376	138	229
377	139	228
378	139	228
379	139	227
380	139	227
381	139	226
382	140	225
383	140	225
384	140	224
385	140	223
386	140	223
387	141	222
388	141	222
389	141	221
390	141	220
391	141	220
392	142	219
393	142	218
394	142	218
395	142	217
396	143	217
397	143	216
398	143	216
399	143	215
400	143	214
401	144	214
402	144	213
403	144	213
404	144	212
405	144	212
406	145	211
407	145	210
408	145	210
409	145	209
410	146	209
411	146	208
412	146	208
413	146	207
414	146	207
415	147	206
416	147	206
417	147	205
418	147	204
419	147	204
420	148	203
421	148	203
422	148	202
423	148	202
424	148	201
425	149	201
426	149	200
427	149	200
428	149	199
429	150	198
430	150	198
431	150	197
432	150	197
433	150	196
434	151	196
435	151	195
436	151	195
437	151	194
438	151	194
439	152	193
440	152	193
441	152	192
442	152	192
443	153	191
444	153	191
445	153	190
446	153	190
447	153	189
448	154	189
449	154	188
450	154	188
451	155	187
452	155	187
453	155	186
454	155	186
455	155	185
456	156	185
457	156	185
458	156	184
459	156	184
460	157	183
461	157	183
462	157	182
463	157	182
464	157	181
465	157	181
466	158	180
467	158	180
468	158	179
469	159	179
470	159	178
471	159	178
472	159	177
473	159	177
474	160	176
475	160	176
476	160	176
477	160	175
478	161	175
479	161	174
480	161	174
481	161	173
482	161	173
483	162	172
484	162	172
485	162	171
486	162	171
487	163	171
488	163	170
489	163	170
490	163	169
491	163	169
492	164	168
493	164	168
494	164	167
495	164	167
496	164	166
497	165	166
498	165	166
499	165	165
500	165	165
501	166	164
502	166	164
503	166	163
504	166	163
505	167	163
506	167	162
507	167	162
508	167	161
509	168	161
510	168	161
511	168	160
512	168	160
513	168	159
514	169	159
515	169	158
516	169	158
517	169	157
518	169	157
519	170	157
520	170	156
521	170	156
522	170	155
523	170	155
524	171	154
525	171	154
526	171	153
527	171	153
528	172	153
529	172	152
530	172	152
531	172	151
532	172	151
533	173	151
534	173	150
535	173	150
536	173	149
537	173	149
538	174	148
539	174	148
540	174	148
541	174	147
542	174	147
543	175	146
544	175	146
545	175	146
546	175	145
547	176	145
548	176	144
549	176	144
550	176	144
551	177	143
552	177	143
553	177	142
554	177	142
555	177	142
556	178	141
557	178	141
558	178	140
559	178	140
560	178	140
561	179	139
562	179	139
563	179	138
564	179	138
565	180	138
566	180	137
567	180	137
568	180	136
569	180	136
570	181	136
571	181	135
572	181	135
573	181	134
